
== syn-h0.001-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
 4000  8.47  8.07 0.41  55.1  43(20/23)   0  0.905  -5.05 0.074   12    48   0.079(0.019)  0.092 0.199 0.011 -0.0212 0.582 0.000 -0.503 -2.73 (-25.99/+20.53)
 4500  8.46  8.05 0.41  55.0  44(21/23)   0  0.906  -5.22 0.072   13    47   0.081(0.017)  0.092 0.198 0.012 -0.0221 0.582 0.000 -0.524 -12.65 (-57.16/+31.86)
 5000  8.49  8.09 0.40  54.9  44(19/25)   0  0.904  -5.18 0.074   13    47   0.075(0.018)  0.089 0.196 0.011 -0.0205 0.583 0.000 -0.488 +40.37 (-4.10/+84.84)

== syn-h0.003-lr0.002-rate-s2  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  8.45  8.02 0.43  55.8  38(17/21)   0  0.913  -7.51 0.098   11    49   0.079(0.019)  0.093 0.186 0.011 -0.0196 0.575 0.000 -0.451 +8.02 (+17.43/-1.39)
 1000  8.57  8.16 0.41  56.0  39(19/20)   0  0.922  -6.65 0.096   11    49   0.081(0.017)  0.094 0.186 0.011 -0.0164 0.578 0.001 -0.377 +82.64 (+50.11/+115.17)
 1500  8.71  8.31 0.41  55.8  40(19/21)   0  0.911  -6.11 0.120   10    50   0.084(0.019)  0.092 0.182 0.012 -0.0160 0.579 0.002 -0.369 +14.68 (-78.55/+107.91)
 2000  8.76  8.37 0.39  55.4  39(17/22)   0  0.908  -6.29 0.114   11    49   0.077(0.018)  0.086 0.185 0.011 -0.0137 0.580 0.000 -0.317 +62.69 (+21.24/+104.15)
 2500  8.75  8.37 0.38  55.2  39(18/21)   0  0.912  -6.06 0.102   12    48   0.082(0.019)  0.085 0.193 0.011 -0.0145 0.582 0.002 -0.335 -11.02 (+0.68/-22.72)
 3000  8.75  8.37 0.37  55.5  40(19/21)   0  0.911  -5.90 0.100   11    49   0.075(0.016)  0.086 0.184 0.010 -0.0171 0.580 0.001 -0.393 -40.77 (+40.95/-122.48)
 3500  8.66  8.29 0.36  55.0  39(17/22)   0  0.901  -5.27 0.084   11    49   0.083(0.017)  0.085 0.192 0.011 -0.0188 0.579 0.001 -0.434 -32.84 (-78.39/+12.71)
