
== neu-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
 4000  8.95  8.21 0.75  58.4  46(19/27)   0  0.963  -6.57 0.084    8    52   0.075(0.016)  0.108 0.181 0.020 -0.0146 0.580 0.000 -0.347 -14.95 (-34.88/+4.97)
 4500  8.96  8.22 0.74  58.3  45(18/27)   0  0.960  -6.63 0.104    8    52   0.077(0.017)  0.110 0.176 0.019 -0.0146 0.580 0.000 -0.347 +74.24 (+153.76/-5.28)
 5000  8.95  8.21 0.74  58.3  45(18/27)   0  0.960  -6.63 0.076    8    52   0.075(0.018)  0.111 0.177 0.020 -0.0146 0.580 0.000 -0.347 -33.98 (-26.02/-41.93)

== syn-h0.01-lr0-rate-s2  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  8.59  7.89 0.70  57.1  36(16/20)   0  0.931  -7.99 0.104   10    50   0.081(0.017)  0.100 0.183 0.017 -0.0194 0.574 0.000 -0.448 -18.41 (-22.72/-14.10)
 1000  8.60  7.90 0.70  57.2  38(19/19)   0  0.935  -7.94 0.102    9    51   0.080(0.016)  0.102 0.182 0.018 -0.0194 0.574 0.000 -0.448 -27.92 (-7.77/-48.07)
 1500  8.57  7.88 0.69  57.1  43(21/22)   0  0.935  -7.71 0.122   10    50   0.083(0.018)  0.102 0.185 0.018 -0.0194 0.574 0.000 -0.448 +35.43 (+44.83/+26.03)
 2000  8.60  7.91 0.69  57.1  43(21/22)   0  0.933  -8.32 0.100    9    51   0.082(0.018)  0.098 0.189 0.016 -0.0194 0.574 0.000 -0.448 -57.47 (+90.12/-205.07)
 2500  8.59  7.90 0.69  57.1  43(21/22)   0  0.938  -8.09 0.100    9    51   0.084(0.017)  0.099 0.188 0.017 -0.0194 0.574 0.000 -0.448 -96.28 (-108.39/-84.16)
